id_usia,id_kelurahan,usia_0_5_l,usia_0_5_p,usia_18_25_l,usia_18_25_p,usia_6_9_l,usia_6_9_p,usia_26_40_l,usia_26_40_p,usia_10_16_l,usia_10_16_p,usia_41_59_l,usia_41_59_p,usia_17_l,usia_17_p,usia_60_l,usia_60_p,update,
220,66,688,684,1165,1147,596,552,2224,2138,1046,928,2505,2622,132,121,1113,1311,2017-12-30,
221,67,633,554,1019,967,470,445,2010,1858,890,735,2053,2081,118,114,857,1065,2017-12-30,
222,68,1009,912,1806,1633,894,907,3595,3592,1677,1488,4034,3985,257,231,1696,1907,2017-12-30,
223,69,236,205,441,381,172,170,755,788,368,313,898,966,60,54,531,750,2017-12-30,
224,70,547,533,922,899,424,378,1748,1731,848,732,1972,2086,143,135,772,1000,2017-12-30,
225,71,1189,1139,1835,1795,989,886,3557,3581,1690,1589,4149,4049,256,250,1424,1615,2017-12-30,
226,72,1073,1054,1721,1664,854,774,3265,3233,1580,1441,3594,3630,270,238,1295,1574,2017-12-30,
227,73,1054,962,1616,1575,859,827,3057,3213,1601,1435,3822,3940,238,189,1353,1715,2017-12-30,
228,74,365,384,575,538,312,264,1268,1235,453,464,1159,1303,64,60,559,621,2017-12-30,
229,75,672,603,943,947,503,434,2006,1958,863,791,1869,1956,109,110,668,724,2017-12-30,
230,76,476,426,568,518,349,373,1309,1358,593,557,1145,1222,89,60,498,596,2017-12-30,
231,77,1541,1529,1947,1958,1331,1132,4722,4901,2214,2009,4888,5219,298,271,2188,2707,2017-12-30,
232,78,432,387,583,540,318,281,1228,1209,515,498,1181,1194,89,73,397,459,2017-12-30,
233,79,517,471,611,586,418,378,1443,1445,644,553,1408,1496,90,82,632,682,2017-12-30,
234,80,602,539,918,899,462,421,1739,1759,833,776,1979,2029,126,120,882,1110,2017-12-30,
235,81,726,712,1144,1119,590,589,2302,2285,1074,963,2544,2611,158,146,1072,1314,2017-12-30,
236,82,569,526,985,888,425,441,1819,1861,908,842,2587,2641,151,138,1032,1304,2017-12-30,
237,83,939,913,1513,1473,832,736,2990,3004,1395,1212,3374,3364,238,184,1312,1567,2017-12-30,
238,84,2025,1828,3095,3014,1574,1443,5807,5825,2635,2454,5928,6085,411,369,2140,2261,2017-12-30,
239,85,869,753,1305,1186,689,635,2382,2403,1124,1021,2705,2882,173,162,1159,1588,2017-12-30,
240,86,1399,1282,2265,2060,1060,1060,4241,4207,1951,1833,4238,4140,330,263,1607,1928,2017-12-30,
241,87,3295,3038,4695,4666,2636,2399,9586,9349,4401,4012,8612,8685,639,578,3334,3618,2017-12-30,
242,88,1581,1456,2375,2300,1307,1135,4476,4490,2184,2001,4221,4301,321,264,1587,1850,2017-12-30,
243,89,1388,1280,2320,2264,1104,1043,4243,4137,2000,1819,4418,4469,325,280,1766,2057,2017-12-30,
244,90,2600,2485,3639,3640,2026,1845,7266,7328,3405,3156,7062,7098,470,440,2075,2095,2017-12-30,
245,91,2729,2556,3946,4039,2154,1954,7919,7748,3546,3377,7124,7339,573,483,2444,2474,2017-12-30,
246,92,1494,1430,2487,2417,1246,1112,4212,4314,2262,1960,4049,3908,309,293,1030,966,2017-12-30,
247,93,794,740,1141,1115,593,534,1923,2059,1064,1014,1974,1913,152,182,444,427,2017-12-30,
248,94,350,364,527,542,275,254,1142,1117,483,464,1149,1200,99,73,346,395,2017-12-30,
249,95,362,363,539,532,285,278,1046,1045,508,445,1054,1037,73,77,332,356,2017-12-30,
250,96,364,384,523,438,295,257,981,1034,516,493,1061,1008,64,58,338,373,2017-12-30,
251,97,739,641,937,935,632,519,1924,2136,1109,961,2288,2256,149,150,729,844,2017-12-30,
252,98,534,503,667,724,378,309,1428,1495,600,581,1480,1469,100,93,450,499,2017-12-30,
253,99,240,225,293,320,181,139,748,705,295,259,615,620,47,40,218,219,2017-12-30,
254,100,1016,929,1519,1453,719,652,2674,2761,1275,1220,2895,3093,185,170,845,752,2017-12-30,
